City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
366,kamina,22.08,overcast clouds,-8.7386,24.9906,Guest House Florvia
367,vidalia,31.59,broken clouds,32.2177,-82.4135,Quality Inn & Suites
368,contamana,33.9,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
370,smithers,16.18,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
371,vaitape,26.96,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
372,nova olinda do norte,32.3,broken clouds,-3.8881,-59.0942,Casa Juazeiro
373,port blair,28.5,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
375,hoi an,28.98,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
376,westport,25.97,overcast clouds,41.1415,-73.3579,The Westport Inn
377,sept-iles,22.29,broken clouds,50.2001,-66.3821,Comfort Inn
379,khani,12.76,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
380,torbay,22.16,clear sky,47.6666,-52.7314,Gallows Cove
381,banikoara,27.79,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
383,kyren,10.33,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
384,tura,23.27,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
385,shahpur,26.85,moderate rain,16.7,76.8333,Sai Deluxe Shahapur
386,sao jose da coroa grande,26.57,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
387,broome,20.76,light rain,42.2506,-75.833,Chenango Valley State Park
388,houma,30.56,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
389,tawang,11.6,broken clouds,27.5833,91.8667,Hotel Mount View
390,bonavista,13.01,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
391,moshi,20.25,overcast clouds,-3.35,37.3333,Osy Grand Hotel
392,kavaratti,28.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
393,antofagasta,19.58,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
394,kot addu,33.75,clear sky,30.4692,70.9671,Mohammad Ayub General Store
396,nouadhibou,18.83,few clouds,20.930999999999997,-17.0347,El Medina
397,diego de almagro,27.8,clear sky,-26.3667,-70.05,hotel luna del desierto
398,marfino,16.14,light rain,55.7028,37.3822,Nemchinovka-Park
399,college,14.81,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
400,aguadilla,29.4,scattered clouds,18.4275,-67.1541,WSSM Surf House
402,auce,16.25,overcast clouds,56.4598,22.9017,"SIA Milur, SARC ""Auce"" , Pansionāts."
403,cortez,27.51,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
404,cabedelo,26.72,clear sky,-6.9811,-34.8339,Hotel Pigalle
405,palasa,27.92,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
406,zhigansk,13.8,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
407,balkanabat,34.96,clear sky,39.5108,54.3671,Nebitchi Hotel
408,anaco,32.16,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
409,djambala,23.34,light rain,-2.5447,14.7533,Hotel Ravin D'or
410,sitka,10.86,overcast clouds,57.0531,-135.33,Westmark Sitka
411,doha,34.99,clear sky,25.2867,51.5333,Movenpick Hotel Doha
412,fevik,15.9,broken clouds,58.3794,8.6766,Strand Hotel Fevik - by Classic Norway Hotels
417,karratha,21.31,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
418,sao filipe,23.61,few clouds,14.8961,-24.4956,Hotel Xaguate
419,saint-leu,23.48,overcast clouds,-21.15,55.2833,La Caz Oceane
421,mareeba,16.4,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
422,kodinar,28.36,clear sky,20.7903,70.7031,residency of N.B vadhel
423,don benito,25.51,few clouds,38.9563,-5.8616,Hotel Vegas Altas | Don Benito
424,muros,16.28,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
